"","x","province","area","stratum_sample_size","F","L","U"
"31",31,"Takhar","Rural",587,0.018602608196973,-0.0518247656584658,0.0891866172483545
"32",32,"Kunduz","Urban",229,0.0197828841336151,-0.080027253048596,0.11787297522427
"33",33,"Kunduz","Rural",522,0.020943191245816,-0.0612086860607925,0.105298029593231
"34",34,"Samangan","Urban",98,0.0209547786528547,-0.0282723935505057,0.070275515173201
"35",35,"Samangan","Rural",668,0.0222777195758233,-0.0654161688326965,0.110692020930049
"36",36,"Balkh","Urban",260,0.0231177537715604,-0.0801195715899986,0.126315981921064
"37",37,"Balkh","Rural",408,0.0240209150424435,-0.0447552078459102,0.0878093360597287
"38",38,"Sar-e-Pul","Urban",57,0.0268397781148195,-0.0455270836815876,0.100568886722456
"39",39,"Sar-e-Pul","Rural",831,0.0282759984207535,-0.0467792305795375,0.104080945634379
"40",40,"Parwan","Urban",140,0.028429127282597,-0.0768290377427185,0.135437593900698
"41",41,"Ghor","Urban",52,0.0293365790389826,-0.0660307141237478,0.120669038940151
"42",42,"Ghor","Rural",722,0.0294984496988464,-0.070005742385624,0.127986214562907
"43",43,"Daykundi","Urban",52,0.0365958797147093,-0.0263673442867168,0.0975877155419853
"44",44,"Daykundi","Rural",690,0.037517806901821,-0.057236343777995,0.129561714380762
"45",45,"Parwan","Rural",722,0.0377259487812657,-0.017166136291365,0.0928874440905321
"46",46,"Urozgan","Urban",93,0.0402753954724205,-0.0560461625479371,0.142827871010332
"47",47,"Urozgan","Rural",669,0.040959274693362,-0.026572863483857,0.107132078435496
"48",48,"Zabul","Urban",112,0.041813003341552,-0.0502162640422949,0.135032551778295
"49",49,"Zabul","Rural",783,0.0429446530909747,-0.0330954341391825,0.121345549327573
"50",50,"Kandahar","Urban",396,0.0434007523687804,-0.044534031216975,0.136329055537741
"51",51,"Kandahar","Rural",688,0.043466615480654,-0.0137127856778545,0.103968046938984
"52",52,"Jawzjan","Urban",243,0.044678653454478,-0.0305317171321975,0.118735400904478
"53",53,"Jawzjan","Rural",681,0.0447938464207486,-0.0504438891383025,0.138722983524636
"54",54,"Faryab","Urban",120,0.0448181928706773,-0.0317257387422939,0.117910791093694
"55",55,"Faryab","Rural",692,0.0458558060380538,-0.0443349195329556,0.138197636102352
"56",56,"Helmand","Urban",127,0.0493233873287359,-0.045317883071076,0.141577036510407
"57",57,"Helmand","Rural",795,0.0496907490795126,0.00278311110407204,0.097901456962023
"58",58,"Badghis","Urban",50,0.0529489475006686,-0.0140689044781009,0.122899623310452
"59",59,"Badghis","Rural",704,0.0590401974791933,-0.0412600413086988,0.163722577211791
"60",60,"Herat","Urban",340,0.0609393057870485,-0.013969745833802,0.142156924485063
"61",61,"Herat","Rural",692,0.061510274023506,-0.0181675404738946,0.150709048161146
"62",62,"Maidan Wardak","Urban",52,0.0644872194793355,-0.0103475210018879,0.14732586112165
"63",63,"Farah","Urban",52,0.0700456556931048,-0.00361263839230442,0.144657355954241
"64",64,"Farah","Rural",651,0.0723386402155235,0.00188893139712365,0.145266110559316
"65",65,"Nimroz","Urban",190,0.0767273512673413,0.0159024140739423,0.140416825178243
"66",66,"Nimroz","Rural",577,0.0969898502843168,0.0373760553950004,0.160884688055952
