"","x","province","area","stratum_sample_size","F","L","U"
"50",50,"Kandahar","Urban",396,-0.00307588459174967,-0.00349169042758685,-0.00268910033642796
"51",51,"Kandahar","Rural",688,-0.00306531523662663,-0.00363624527366753,-0.00246382385919403
"52",52,"Jawzjan","Urban",243,-0.00306067522825424,-0.00368607821766744,-0.00242812826489626
"53",53,"Jawzjan","Rural",681,-0.00305306750482966,-0.00341176901484723,-0.00266404253615231
"54",54,"Faryab","Urban",120,-0.00305293265638553,-0.00353129615098521,-0.00258233362699704
"55",55,"Faryab","Rural",692,-0.00303166648527248,-0.00352251122676929,-0.00250094643789946
"56",56,"Helmand","Urban",127,-0.00302832290009148,-0.00340701218739023,-0.00263118919613619
"57",57,"Helmand","Rural",795,-0.00300491356085956,-0.00346478328397954,-0.00255322686135273
"58",58,"Badghis","Urban",50,-0.00298800171050922,-0.00333407507731601,-0.00262963166754798
"59",59,"Badghis","Rural",704,-0.00297814420796919,-0.00349010117832821,-0.00242763761058713
"60",60,"Herat","Urban",340,-0.00297142008202314,-0.00351442805100131,-0.00235040356530653
"61",61,"Herat","Rural",692,-0.00296905381077828,-0.00342110577767901,-0.00254629912966073
"62",62,"Maidan Wardak","Urban",52,-0.00294016001212123,-0.00335166535221466,-0.00251203047949658
"63",63,"Farah","Urban",52,-0.0028949494033164,-0.00332759845665237,-0.00243250811910348
"64",64,"Farah","Rural",651,-0.00289094693145005,-0.00331391565941801,-0.00246320931168568
"65",65,"Nimroz","Urban",190,-0.0028713429695909,-0.00331256783834492,-0.00236950125540222
"66",66,"Nimroz","Rural",577,-0.00270137501486356,-0.00311289925730146,-0.00226493820712096
