"","x","province","area","stratum_sample_size","F","L","U"
"37",37,"Balkh","Rural",408,-0.0417389035942534,-0.0501088066022073,-0.0335755113184282
"38",38,"Sar-e-Pul","Urban",57,-0.0417232318907822,-0.0506395844284652,-0.0328241623151092
"39",39,"Sar-e-Pul","Rural",831,-0.0416792009035673,-0.0514972925648495,-0.0320955325121652
"40",40,"Parwan","Urban",140,-0.0416169243770902,-0.0563590430542553,-0.0267725773647277
"41",41,"Ghor","Urban",52,-0.0413952024396606,-0.0519221497257984,-0.0307717942116602
"42",42,"Ghor","Rural",722,-0.041350227588409,-0.0575834702617484,-0.0242217540793629
"43",43,"Daykundi","Urban",52,-0.0413132617993721,-0.0568633598591405,-0.0252753212203552
"44",44,"Daykundi","Rural",690,-0.0405896657211411,-0.0507962320110461,-0.0304740633221138
"45",45,"Parwan","Rural",722,-0.0403946511537422,-0.0503111003726765,-0.0300794891078343
"46",46,"Urozgan","Urban",93,-0.0403895025045938,-0.0498245675444769,-0.0312933504329549
"47",47,"Urozgan","Rural",669,-0.0403543059235153,-0.0467506120162372,-0.0341308061332703
"48",48,"Zabul","Urban",112,-0.0401759771958638,-0.0484245873463767,-0.0319905329017491
"49",49,"Zabul","Rural",783,-0.0398529440188788,-0.0552278055886294,-0.0226527685565837
"50",50,"Kandahar","Urban",396,-0.0395644514517077,-0.0465321152363426,-0.0328547600484493
"51",51,"Kandahar","Rural",688,-0.0392905255274101,-0.0524173618048988,-0.0251880382398574
"52",52,"Jawzjan","Urban",243,-0.0389048087226766,-0.053766674897312,-0.0234866089084052
"53",53,"Jawzjan","Rural",681,-0.0385017113880419,-0.0455629570101037,-0.0317566987883238
"54",54,"Faryab","Urban",120,-0.0380840538333655,-0.0534612157135126,-0.0224467138251647
"55",55,"Faryab","Rural",692,-0.038035882510689,-0.0494458463101491,-0.0265401955537847
"56",56,"Helmand","Urban",127,-0.0368088509832687,-0.0449790392496467,-0.0278763834526228
"57",57,"Helmand","Rural",795,-0.0360272180917676,-0.0509469235377751,-0.0197830645196928
"58",58,"Badghis","Urban",50,-0.0359195020412132,-0.0508095655551482,-0.0201031189262165
"59",59,"Badghis","Rural",704,-0.0354668297128029,-0.043678167039298,-0.0272928022427596
"60",60,"Herat","Urban",340,-0.0351942126546053,-0.0433184192971369,-0.0265353541667993
"61",61,"Herat","Rural",692,-0.0351036959127672,-0.0500937132890793,-0.0192003522593314
"62",62,"Maidan Wardak","Urban",52,-0.0344020620047261,-0.0443723431462688,-0.0240779232636576
"63",63,"Farah","Urban",52,-0.030809591483372,-0.0438560260190251,-0.0158896078043771
"64",64,"Farah","Rural",651,-0.0300058505997639,-0.0439050587961917,-0.0145909197771508
"65",65,"Nimroz","Urban",190,-0.0276374083625765,-0.0366692335867987,-0.0185618540318207
"66",66,"Nimroz","Rural",577,-0.02731444823508,-0.0352279152048764,-0.0189335425793555
