"","x","province","area","stratum_sample_size","F","L","U"
"34",34,"Samangan","Urban",98,-0.0624146030357982,-0.16943495825969,0.0464764427952142
"35",35,"Samangan","Rural",668,-0.0609649142520976,-0.185424156238998,0.0558153815726003
"36",36,"Balkh","Urban",260,-0.0607702518470446,-0.162470896700569,0.0428052953101171
"37",37,"Balkh","Rural",408,-0.0596331708563483,-0.187007102403555,0.0728815637061375
"38",38,"Sar-e-Pul","Urban",57,-0.0581704770952304,-0.10670827221725,-0.0106221902788671
"39",39,"Sar-e-Pul","Rural",831,-0.0575866009800344,-0.155103362668763,0.0373924432218079
"40",40,"Parwan","Urban",140,-0.0568882038959092,-0.177214546307085,0.0667604106271969
"41",41,"Ghor","Urban",52,-0.0563360065954565,-0.18862616933052,0.0855583195829039
"42",42,"Ghor","Rural",722,-0.0562103770874763,-0.171914549715135,0.059594099789713
"43",43,"Daykundi","Urban",52,-0.0554064310226723,-0.147702699039168,0.0320746951040026
"44",44,"Daykundi","Rural",690,-0.0534643298021661,-0.18605694463998,0.0845681645998615
"45",45,"Parwan","Rural",722,-0.052344184539147,-0.17970446525777,0.0720532538680236
"46",46,"Urozgan","Urban",93,-0.0507885141658581,-0.189212644839679,0.0864238550535547
"47",47,"Urozgan","Rural",669,-0.0479017054366989,-0.166921724836997,0.0785405169502707
"48",48,"Zabul","Urban",112,-0.0478938323010711,-0.190910194458312,0.0944210906261734
"49",49,"Zabul","Rural",783,-0.0474794152455549,-0.182366897634429,0.0798591052467119
"50",50,"Kandahar","Urban",396,-0.0462062035485593,-0.167452323247117,0.0746287177481819
"51",51,"Kandahar","Rural",688,-0.0462059489106637,-0.132431839957145,0.04614433699473
"52",52,"Jawzjan","Urban",243,-0.0430732094948223,-0.142517376742341,0.0585524267626601
"53",53,"Jawzjan","Rural",681,-0.0416415282712001,-0.162912326777411,0.0827851013078232
"54",54,"Faryab","Urban",120,-0.0413901805172457,-0.166918833119623,0.0923814225911971
"55",55,"Faryab","Rural",692,-0.0405613722204728,-0.137905453182308,0.0598294556490044
"56",56,"Helmand","Urban",127,-0.0367323913021024,-0.110530329624722,0.0383368480953137
"57",57,"Helmand","Rural",795,-0.0357562572625551,-0.171568261537139,0.102658862092979
"58",58,"Badghis","Urban",50,-0.0347970685317521,-0.143960912268242,0.0712808580438882
"59",59,"Badghis","Rural",704,-0.0341378699251809,-0.127679590537793,0.0642178429396889
"60",60,"Herat","Urban",340,-0.0171933746126068,-0.115916260650429,0.0859898274282515
"61",61,"Herat","Rural",692,-0.00970717834774157,-0.085190698435587,0.0651559218899134
"62",62,"Maidan Wardak","Urban",52,-0.00437648159863569,-0.123757570031358,0.114615615792869
"63",63,"Farah","Urban",52,0.0122079719321354,-0.0891252794231234,0.125399398235178
"64",64,"Farah","Rural",651,0.0163834914916256,-0.094528947453669,0.134924314199111
"65",65,"Nimroz","Urban",190,0.0244789014838114,-0.052546893128466,0.100395477993016
"66",66,"Nimroz","Rural",577,0.0247128149420535,-0.0584254243598529,0.108070987254839
