"","x","province","area","stratum_sample_size","F","L","U"
"38",38,"Sar-e-Pul","Urban",57,-0.00191172969510555,-0.00371000536652886,-0.000189846897268125
"39",39,"Sar-e-Pul","Rural",831,-0.00190186640130945,-0.00448807076751179,0.000792625141549996
"40",40,"Parwan","Urban",140,-0.00189390475045186,-0.00392269590228667,5.35111235797132e-05
"41",41,"Ghor","Urban",52,-0.00187989976073385,-0.00392887187591305,0.000171658404523697
"42",42,"Ghor","Rural",722,-0.00187474266614676,-0.00433436427488436,0.000551100377112851
"43",43,"Daykundi","Urban",52,-0.00185701172844604,-0.00438050205150499,0.000448870467365398
"44",44,"Daykundi","Rural",690,-0.00184768054168556,-0.00455136563946128,0.000767127190333143
"45",45,"Parwan","Rural",722,-0.00183364997569699,-0.00398904659947374,0.000339035649187081
"46",46,"Urozgan","Urban",93,-0.00181818119406381,-0.0045562607473622,0.000953910388674281
"47",47,"Urozgan","Rural",669,-0.00179689404052034,-0.00319284498211452,-0.00046136050730392
"48",48,"Zabul","Urban",112,-0.00176232209332576,-0.00450686395941495,0.00107581233087592
"49",49,"Zabul","Rural",783,-0.00166578671208391,-0.00430381382935209,0.00106301706724224
"50",50,"Kandahar","Urban",396,-0.00164495838065179,-0.00377372896363995,0.00057574039947753
"51",51,"Kandahar","Rural",688,-0.00160895813171162,-0.00367720812137653,0.000602622114339398
"52",52,"Jawzjan","Urban",243,-0.0015768408656342,-0.00376363095975287,0.000693098123555248
"53",53,"Jawzjan","Rural",681,-0.00153452835744121,-0.00421692525527257,0.00118915393199752
"54",54,"Faryab","Urban",120,-0.00151234614354642,-0.00387570213453344,0.000951106717582876
"55",55,"Faryab","Rural",692,-0.00137847841233077,-0.00417359335506971,0.00151736328736171
"56",56,"Helmand","Urban",127,-0.00133842375274659,-0.00347463102857633,0.000784743365895805
"57",57,"Helmand","Rural",795,-0.00130938232592827,-0.00335353986151639,0.000718986693728493
"58",58,"Badghis","Urban",50,-0.00127483155285702,-0.00353544218182394,0.00138677949562964
"59",59,"Badghis","Rural",704,-0.00116851221474777,-0.0030937260626927,0.000885727511138161
"60",60,"Herat","Urban",340,-0.00115259194124439,-0.00356340406925791,0.00137600176373338
"61",61,"Herat","Rural",692,-0.00114896119554209,-0.00293938501496436,0.00078171826720128
"62",62,"Maidan Wardak","Urban",52,-0.000914409762625494,-0.00291488202158249,0.00122934586058075
"63",63,"Farah","Urban",52,-0.000871652836109472,-0.00270098148247165,0.00107959622100322
"64",64,"Farah","Rural",651,-0.000817360239214399,-0.00295937673419236,0.00152686550145092
"65",65,"Nimroz","Urban",190,-0.000735715506583456,-0.00240053709017928,0.000982163545922051
"66",66,"Nimroz","Rural",577,0.000495904974138123,-0.00173452271390509,0.00298614944736042
